decimal_year,gmsl_mm,date
2007.3200540036084,25.546,2007-04-27
2007.3472207761745,20.149,2007-05-07
2007.3743821973333,25.104,2007-05-17
2007.401572387701,26.564,2007-05-27
2007.4287143528406,25.381,2007-06-06
2007.4559040554316,22.205,2007-06-16
2007.4830493468683,22.1,2007-06-26
2007.510211878006,22.444,2007-07-06
2007.5373773268677,21.134,2007-07-16
2007.5645503605535,20.392,2007-07-26
2007.5917198481882,21.662,2007-08-04
2007.618860373188,25.308,2007-08-14
2007.6460418131026,22.106,2007-08-24
2007.6732109911147,19.948,2007-09-03
2007.7003770016897,20.622,2007-09-13
2007.7275410850878,25.311,2007-09-23
2007.7547148714268,24.182,2007-10-03
2007.78186350308,22.385,2007-10-13
2007.8090389159147,22.941,2007-10-23
2007.8362183281517,20.549,2007-11-02
2007.8633770759911,24.179,2007-11-12
2007.8905465112864,28.681,2007-11-22
2007.9177179891612,28.089,2007-12-01
2007.9448737049931,26.025,2007-12-11
2007.972122361641,21.016,2007-12-21
2007.9992078319274,22.579,2007-12-31
2008.0262986032924,24.36,2008-01-10
2008.0534044999222,27.218,2008-01-20
2008.0804777139,26.726,2008-01-30
2008.1075784563573,24.583,2008-02-09
2008.1346643100414,25.7,2008-02-19
2008.1617565675758,22.504,2008-02-29
2008.1888495428566,25.631,2008-03-10
2008.2159449064477,26.417,2008-03-20
2008.2430366724336,24.492,2008-03-29
2008.2701289454342,23.978,2008-04-08
2008.297199053655,25.182,2008-04-18
2008.3243093027809,24.895,2008-04-28
2008.3447324999565,24.823,2008-05-06
2008.378504058335,30.935,2008-05-18
2008.4055829069362,31.777,2008-05-28
2008.4326729143936,29.868,2008-06-07
2008.4597643744262,28.662,2008-06-17
2008.4868606154598,29.923,2008-06-27
2008.5139584288697,30.633,2008-07-07
2008.5414108473012,28.379,2008-07-17
2008.5681250736372,27.327,2008-07-26
2008.5953542758207,26.073,2008-08-05
2008.6223102750341,28.018,2008-08-15
2008.649125620555,26.437,2008-08-25
2008.6764381201776,26.182,2008-09-04
2008.7035732862405,24.378,2008-09-14
2008.7306748137025,26.6,2008-09-24
2008.7577665745828,26.709,2008-10-04
2008.784860706786,27.052,2008-10-14
2008.8119525194477,27.147,2008-10-24
2008.8390436716008,25.49,2008-11-03
2008.8661370357293,27.049,2008-11-13
2008.8932308585117,26.073,2008-11-22
2008.920318691068,30.293,2008-12-02
2008.947381450991,26.634,2008-12-12
2008.9745073394959,25.421,2008-12-22
2009.0016068545626,27.479,2009-01-01
2009.0287705366748,28.453,2009-01-11
2009.055938517643,29.1,2009-01-21
2009.0831012271772,27.696,2009-01-31
2009.1102693514881,25.54,2009-02-10
2009.1374343292553,27.646,2009-02-20
2009.164600633072,29.242,2009-03-02
2009.1917695871032,29.264,2009-03-11
2009.2189365042104,30.047,2009-03-21
2009.246109103331,30.024,2009-03-31
2009.2732688954973,30.013,2009-04-10
2009.3004325565248,30.719,2009-04-20
2009.3276051757696,30.533,2009-04-30
